{ 02 E1 1A 19 3D 0C 0E 01 1F 00 }, Delta:7.864ms, Position:[6426,3133], Pressure:270, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 13 19 3E 0C 00 00 1F 00 }, Delta:8.122ms, Position:[6419,3134], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 0C 19 3F 0C 00 00 1F 00 }, Delta:6.976ms, Position:[6412,3135], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 99 18 5E 0C 00 00 1F 00 }, Delta:6.222ms, Position:[6297,3166], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 97 18 60 0C 00 00 1F 00 }, Delta:7.971ms, Position:[6295,3168], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 96 18 65 0C 00 00 1F 00 }, Delta:9.157ms, Position:[6294,3173], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 94 18 67 0C 00 00 1F 00 }, Delta:6.850ms, Position:[6292,3175], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 94 18 69 0C 00 00 1F 00 }, Delta:8.424ms, Position:[6292,3177], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 93 18 6B 0C 00 00 1F 00 }, Delta:5.423ms, Position:[6291,3179], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 94 18 6D 0C 00 00 1F 00 }, Delta:10.745ms, Position:[6292,3181], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 93 18 6D 0C 00 00 1F 00 }, Delta:5.215ms, Position:[6291,3181], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 94 18 6C 0C 00 00 1F 00 }, Delta:6.253ms, Position:[6292,3180], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 94 18 6B 0C 00 00 1F 00 }, Delta:7.745ms, Position:[6292,3179], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 94 18 68 0C 00 00 1F 00 }, Delta:8.154ms, Position:[6292,3176], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 95 18 67 0C 00 00 1F 00 }, Delta:7.888ms, Position:[6293,3175], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 95 18 63 0C 00 00 1F 00 }, Delta:8.108ms, Position:[6293,3171], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
